,Unnamed: 0,school_name,address,score,district,grade,lat,long
339,339,San Antonio School For Inquiry & C,"4616 San Pedro Avenue, San Antonio, TX 78212",3.0,Public charter,K-12,N/A,N/A
340,340,The Education And Training Center,"3030 East Commerce Street, San Antonio, TX 78220",3.0,Public charter,PK-12,N/A,N/A
341,341,Kipp Aspire Academy,"731 Fredericksburg Road, San Antonio, TX 78201",3.0,Public charter,5-8,N/A,N/A
342,342,M L King Academy,"3501 Martin Luther King Drive, San Antonio, TX 78220",3.0,Public charter,PK-8,N/A,N/A
343,343,Dr David C Walker Intermediate School,"1826 Basse Road, San Antonio, TX 78213",3.0,Public charter,4-6,N/A,N/A
344,344,Alamo Leadership Academy,"4434 Roland Road, San Antonio, TX 78222",3.0,Public charter,PK-12,N/A,N/A
345,345,Milton B Lee Academy Of Science &,"1826 Basse Road, San Antonio, TX 78213",3.0,Public charter,9-12,N/A,N/A
346,346,Martin Elementary School,"730 Canterbury Drive, San Antonio, TX 78228",3.0,Public district,PK-5,N/A,N/A
347,347,Kipp Camino Academy,"735 Fredericksburg Road, San Antonio, TX 78201",3.0,Public charter,5-8,N/A,N/A
348,348,Harlandale Isd Stem Echs-Alamo Colleges At Pac,"102 Genevieve Drive, San Antonio, TX 78214",3.0,Public district,9-12,N/A,N/A
349,349,New Frontiers Charter School,"4018 South Presa Street, San Antonio, TX 78223",2.0,Public charter,PK-5,N/A,N/A
350,350,Dr Harmon W Kelley Elementary School,"802 Oblate Drive, San Antonio, TX 78216",2.0,Public charter,PK-3,N/A,N/A
351,351,Homebound,"8961 Tesoro Drive, San Antonio, TX 78217",2.0,Public district,PK-12,N/A,N/A
352,352,Pecan Valley Elementary School,"3966 East Southcross, San Antonio, TX 78222",2.0,Public district,PK-3,N/A,N/A
353,353,Salado Intermediate School,"3602 South Ww White Road, San Antonio, TX 78222",2.0,Public district,4-5,N/A,N/A
354,354,Gardendale Elementary School,"1731 Dahlgreen Avenue, San Antonio, TX 78237",2.0,Public district,PK-5,N/A,N/A
355,355,Gus Garcia Middle School,"3306 Ruiz Street, San Antonio, TX 78228",2.0,Public district,6-8,N/A,N/A
356,356,Memorial High School,"1227 Memorial Street, San Antonio, TX 78228",2.0,Public district,9-12,N/A,N/A
357,357,Stonewall/Flanders Elementary School,"804 Stonewall Street, San Antonio, TX 78211",2.0,Public district,PK-5,N/A,N/A
358,358,Harlandale High School,"114 East Gerald Avenue, San Antonio, TX 78214",2.0,Public district,9-12,N/A,N/A
359,359,Mccollum High School,"500 West Formosa Boulevard, San Antonio, TX 78221",2.0,Public district,9-12,N/A,N/A
360,360,Jones Middle School,"1256 Pinn Road, San Antonio, TX 78227",2.0,Public district,6-8,N/A,N/A
361,361,Bowden Elementary School,"515 Willow Street, San Antonio, TX 78202",2.0,Public district,PK-5,N/A,N/A
362,362,Charles C Ball Elementary School,"343 Koehler Court, San Antonio, TX 78223",2.0,Public district,PK-5,N/A,N/A
363,363,Davis Middle School,"4702 East Houston Street, San Antonio, TX 78220",2.0,Public charter,6-8,N/A,N/A
364,364,De Zavala Elementary School,"2311 San Luis Street, San Antonio, TX 78207",2.0,Public district,PK-5,N/A,N/A
365,365,Dorie Miller Elementary School,"207 Lincolnshire Drive, San Antonio, TX 78220",2.0,Public district,PK-5,N/A,N/A
366,366,Harris Middle,"325 Pruitt Avenue, San Antonio, TX 78204",2.0,Public charter,6-8,N/A,N/A
367,367,Highlands High School,"3118 Elgin Avenue, San Antonio, TX 78210",2.0,Public district,9-12,N/A,N/A
368,368,Houston High School,"4635 East Houston Street, San Antonio, TX 78220",2.0,Public district,9-12,N/A,N/A
369,369,Lanier High School,"1514 West César E Chávez Boulevard, San Antonio, TX 78207",2.0,Public district,9-12,N/A,N/A
