,school_name,address,score,grade
245,The Children's School,"2825 Hancock Drive, Austin, TX 78731",N/A,Private PK-4
246,Primavera Montessori School,"6405 Manchaca Rd., Austin, TX 78745",N/A,Private PK-4
247,Our Savior Lutheran School,"1513 East Yager Lane, Austin, TX 78753",N/A,Private PK-5
248,Strickland School,"P.O. Box 150413, Austin, TX 78715",N/A,Private PK-8
249,Austin Waldorf School,"8700 South View Road, Austin, TX 78737",N/A,Private K-12
250,Parkside Community School,"3702 W. Slaughter Lane , Austin, TX 78748",N/A,Private PK-6
251,Austin Children's Montessori,"8807 Manchaca Road, Austin, TX 78748",N/A,Private PK-1
252,Lake Hills Montessori Austin Campus,"600 Cuernavaca Drive North, Austin, TX 78733",N/A,Private PK-K
253,Hill Country Christian School,"12124 Ranch Rd 620 N, Austin, TX 78750",N/A,Private PK-12
254,Bais Menachem Hebrew Academy,"2127 West Parmer Lane, Austin, TX 78727",N/A,Private PK-6
255,Paragon Prep School,"2001 West Koenig Lane, Austin, TX 78756",N/A,Private K-8
256,Austin Jewish Academy,"7300 Hart Lane, Austin, TX 78731",N/A,Private K-8
257,Good Shepherd Episcopal School,"2206 Exposition Boulevard, Austin, TX 78703",N/A,Private PK-K
258,The Isely School,"2301 Shoal Creek Boulevard, Austin, TX 78705",N/A,Private K-3
259,Montessori House Of Chldr,"1601 Brackenridge Street, Austin, TX 78704",N/A,Private PK
260,The Montessori Center,"4108 Avenue H, Austin, TX 78751",N/A,Private PK-K
261,Austin Village Academy,"4105 Manchaca Rd., Austin, TX 78704",N/A,Private K-9
262,Hyde Park Baptist Elementary School,"3901 Speedway, Austin, TX 78751",N/A,Private K-5
263,Hyde Park Baptist School,"3901 Speedway, Austin, TX 78751",N/A,Private K-12
264,Huntington-Surrey High School,"5206 Balcones Drive, Austin, TX 78756",N/A,Private 8-12
265,Holy Family Catholic School,"9400 Neenah Avenue, Austin, TX 78717",N/A,Private PK-8
266,St Matthew's Episcopal School,"8134 Mesa Drive, Austin, TX 78759",N/A,Private PK-K
267,Austin Peace Academy,"5110 Manor Road, Austin, TX 78723",N/A,Private PK-12
268,Praise Christian Academy,"5800 E Martin Luther King Jr, Austin, TX 78721",N/A,Private PK-6
269,St. Gabriel's Catholic School,"2500 Wimberly Ln, Austin, TX 78735",N/A,Private PK-8
270,Brentwood Christian School,"11908 N Lamar Blvd, Austin, TX 78753",N/A,Private PK-12
271,Settlement Home,"1600 Payton Gin Road, Austin, TX 78758",N/A,Public charter 6-12
272,Phoenix Academy,"400 West Live Oak Street, Austin, TX 78704",N/A,Public district 6-12
273,K12 International Academy,"1701 N. Congress Avenue, Austin, TX 78701",N/A,Private K-12
274,University High School,"2007 University Avenue, Austin, TX 78705",N/A,Public charter 9-12
275,North Austin Montessori School,"12400 Amherst Drive, Austin, TX 78727",N/A,Private PK-K
276,George M Kometzky School,"8701 North Mopac Expressway, Austin, TX 78759",N/A,Public charter K-12
277,Texas School For The Blind,"1100 West 45th Street, Austin, TX 78756",N/A,Public district 1-12
278,University of Texas at Austin High School,"2901 N. IH35, Austin, TX 78722, Austin, TX 78713",N/A,Public district 9-12
279,Westlake Alternative School,"601 Camp Craft Road, Austin, TX 78746",N/A,Public district 9-12
280,Delco Primary School,"12900 Dessau Road, Austin, TX 78754",N/A,Public district PK-2
281,Kamico Academy,"4413 Spicewood Springs Rd, Austin, TX 78759",N/A,Private K-6
282,Austin International School,"4001 Adelphi Lane, Austin, TX 78727",N/A,Private PK-5
283,St Francis School,"300 East Huntland Drive, Austin, TX 78752",N/A,Private PK-8
284,Hawthorne Montessori School,"1414 Kramer Lane, Austin, TX 78758",N/A,Private PK-K
285,Casa Montessori Child Development Center,"Po Box 1416, Austin, TX 78767",N/A,Private PK-K
286,Trinity Episcopal School of AU,"3901 Bee Cave Road, Austin, TX 78746",N/A,Private K-8
287,St George's Episcopal School,"4301 South Interstate 35 Frontage Road, Austin, TX 78744",N/A,Private PK
288,Headwaters School,"801 Rio Grande Street, Austin, TX 78701",N/A,Private PK-12
289,Generation 2,"1610 Wheless Lane, Austin, TX 78723",N/A,Private PK
290,International High School,"1012 Arthur Stiles Road, Austin, TX 78721",N/A,Public district 9-12
291,Gus Garcia Young Men's Leadership Academy,"7414 Johnny Morris Road, Austin, TX 78724",N/A,Public district 6-8
292,Acton Academy,"2201 Alexander Avenue, Austin, TX 78722",N/A,Private 2-12
293,Austin St Hospital,"1111 West 6th Street, Austin, TX 78703",N/A,Public district PK-12
294,Travis County State Jail,"8101 Farm to Market 969, Austin, TX 78724",N/A,Public district n/a
295,Jackie's Performing Arts & Private Education,"11530 Manchaca Road, Austin, TX 78748",N/A,Private PK-5
296,Regents School Of Austin,"3230 Travis Country Circle, Austin, TX 78735",N/A,Private K-12
297,Greater Calvary Academy,"6510 Berkman Drive, Austin, TX 78723",N/A,Private K-6
298,San Juan Diego Catholic High School,"800 Herndon Lane, Austin, TX 78704",N/A,Private 8-12
299,Shoreline Christian School,"15201 Burnet Road, Austin, TX 78728",N/A,Private PK-7
300,St. James' Episcopal School,"1941 Webberville Road, Austin, TX 78721",N/A,Private PK-K
301,Griffin School,"5001 Evans Ave., Austin, TX 78751",N/A,Private 9-12
