,school_name,address,score,district,grade,lat,long
112,Kipp Austin Comunidad,"8509 Farm to Market 969, Austin, TX 78724",6,Public charter,PK-4,30.2723506,-97.6384032
113,Austin Achieve Public Schools,"5908 Manor Road, Austin, TX 78723",6,Public charter,9-Jun,30.3073171,-97.679957
114,Webb Primary Center,"601 East Saint Johns Avenue, Austin, TX 78752",6,Public district,PK-4,30.332413,-97.707407
115,Joseph Gilbert Elementary School,"5412 Gilbert Road, Austin, TX 78724",6,Public district,PK-5,30.2585148,-97.592503
116,Idea Allan Academy,"1701 Vargas Road, Austin, TX 78741",6,Public charter,K-5,30.2261121,-97.6990324
117,Texas Empowerment Academy,"3613 Bluestein Drive, Austin, TX 78721",5,Public charter,12-May,30.2730533,-97.6723241
118,Blanton Elementary School,"5408 Westminster Drive, Austin, TX 78723",5,Public district,PK-6,30.3069305,-97.6906309
119,Brooke Elementary School,"3100 East 4th Street, Austin, TX 78702",5,Public district,PK-5,30.2548223,-97.7085089
120,Cook Elementary School,"1511 Cripple Creek Drive, Austin, TX 78758",5,Public district,PK-5,30.3780027,-97.7048217
121,Fulmore Middle School,"201 East Mary Street, Austin, TX 78704",5,Public district,8-Jun,30.243927,-97.750467
122,Harris Elementary School,"1711 Wheless Lane, Austin, TX 78723",5,Public district,PK-6,30.3148292,-97.690767
123,Joslin Elementary School,"4500 Manchaca Road, Austin, TX 78745",5,Public district,PK-5,30.2276749,-97.7899382
124,Linder Elementary School,"2800 Metcalfe Road, Austin, TX 78741",5,Public district,5-Jan,30.224531,-97.737915
125,Pillow Elementary School,"3025 Crosscreek Drive, Austin, TX 78757",5,Public district,PK-5,30.3692274,-97.7332785
126,Sanchez Elementary School,"73 San Marcos Street, Austin, TX 78702",5,Public district,PK-5,30.258345,-97.7355283
127,Covington Middle School,"3700 Convict Hill Road, Austin, TX 78749",5,Public district,8-Jun,30.2113591,-97.8341298
128,Palm Elementary School,"7601 Dixie Drive, Austin, TX 78744",5,Public district,PK-5,30.1648241,-97.7436728
129,Hillcrest Elementary School,"6910 East William Cannon Drive, Austin, TX 78744",5,Public district,PK-5,30.1654102,-97.7290982
130,University Of Texas Elementary Charter School,"2200 East 6th Street, Austin, TX 78702",5,Public charter,PK-5,30.2603052,-97.717612
131,River Oaks Elementary School,"12401 Scofield Farms Drive, Austin, TX 78758",5,Public district,PK-5,30.4086164,-97.6869636
132,John B Connally High School,"13212 North Lamar Boulevard, Austin, TX 78753",5,Public district,12-Sep,30.4186788,-97.6763882
133,Wells Branch Elementary School,"14650 Merrilltown Drive, Austin, TX 78728",5,Public district,PK-5,30.4464094,-97.687992
134,Decker Elementary School,"8500 Decker Lane, Austin, TX 78724",5,Public district,PK-5,30.311619,-97.616897
135,Overton Elementary School,"7201 Colony Loop Drive, Austin, TX 78724",5,Public district,PK-6,30.3001872,-97.6367011
136,Pioneer Crossing Elementary School,"11300 Samsung Boulevard, Austin, TX 78754",5,Public district,PK-5,30.3620315,-97.6400811
137,Harmony School of Science - Austin,"11800 Stonehollow Dr. Suite 100, Austin, TX 78758",5,Public charter,K-8,30.4006797,-97.7087907
138,Kipp Austin Vista Middle Schools,"8509 Farm to Market 969, Austin, TX 78724",5,Public charter,8-May,30.2723506,-97.6384032
139,Harmony School of Innovation,"2124 E. St. Elmo Rd., Austin, TX 78744",5,Public charter,K-5,30.2100447,-97.7452642
140,Idea Rundberg College Preparatory,"9504 North Interstate 35 Frontage Road, Austin, TX 78753",5,Public charter,6,30.3609586,-97.6878049
141,Eden Park Academy,"6215 Manchaca Road, Austin, TX 78745",4,Public charter,PK-6,30.209323,-97.803132
142,Andrews Elementary School,"6801 Northeast Drive, Austin, TX 78723",4,Public district,PK-5,30.317554,-97.679663
143,Becker Elementary School,"906 West Milton Street, Austin, TX 78704",4,Public district,PK-5,30.2503357,-97.7596416
144,Bedichek Middle School,"6800 Bill Hughes Road, Austin, TX 78745",4,Public district,8-Jun,30.196163,-97.7862169
145,Brown Elementary School,"505 West Anderson Lane, Austin, TX 78752",4,Public district,PK-6,30.344768,-97.7103433
146,Crockett High School,"5601 Manchaca Road, Austin, TX 78745",4,Public district,12-Sep,30.2147238,-97.7973918
147,Cunningham Elementary School,"2200 Berkeley Avenue, Austin, TX 78745",4,Public district,PK-5,30.210476,-97.805811
148,Dawson Elementary School,"3001 South 1st Street, Austin, TX 78704",4,Public district,PK-5,30.234063,-97.763364
149,Houston Elementary School,"5409 Ponciana Drive, Austin, TX 78744",4,Public district,PK-5,30.1964677,-97.7550709
150,Lanier High School,"1201 Payton Gin Road, Austin, TX 78758",4,Public district,12-Sep,30.360485,-97.7078978
151,Maplewood Elementary School,"3808 Maplewood Avenue, Austin, TX 78722",4,Public district,PK-6,30.293337,-97.714901
152,Metz Elementary School,"84 Robert Martinez Junior Street, Austin, TX 78702",4,Public district,PK-5,30.2545817,-97.7221015
153,Sims Elementary School,"1203 Springdale Road, Austin, TX 78721",4,Public district,PK-6,30.27941,-97.6854029
154,Wooldridge Elementary School,"1412 Norseman Terrace, Austin, TX 78758",4,Public district,PK-5,30.3649553,-97.7099315
155,Zavala Elementary School,"310 Robert Martinez Jr., Austin, TX 78702",4,Public district,PK-6,30.2582731,-97.7195431
156,Jordan Elementary School,"6711 Johnny Morris Road, Austin, TX 78724",4,Public district,PK-6,30.3010887,-97.6467738
157,Davis Elementary School,"5214 Duval Road, Austin, TX 78727",4,Public district,PK-5,30.418248,-97.7421822
158,Langford Elementary School,"2206 Blue Meadow Drive, Austin, TX 78744",4,Public district,PK-5,30.1820835,-97.7633689
159,Popham Elementary School,"7014 Elroy Road, Austin, TX 78617",4,Public district,PK-5,30.1583685,-97.6441418
160,Smith Elementary School,"4209 Smith School Road, Austin, TX 78744",4,Public district,PK-5,30.195935,-97.7133868
161,Baty Elementary School,"2101 Faro Drive, Austin, TX 78741",4,Public district,PK-5,30.2270684,-97.7128148
162,Bluebonnet Trail Elementary School,"11316 Farmhaven Road, Austin, TX 78754",4,Public district,PK-5,30.3518803,-97.6174027
163,Dessau Elementary School,"1501 Dessau Ridge Lane, Austin, TX 78754",4,Public district,"1, 3-5",30.401652,-97.6439369
164,Westview Middle School,"1805 Scofield Lane, Austin, TX 78727",4,Public district,8-Jun,30.4172292,-97.6887593
165,Harmony Science Academy - Austin,"930 East Rundberg Lane, Austin, TX 78753",4,Public charter,K-8,30.3571453,-97.6846832
166,Dessau Middle School,"12900 Dessau Road, Austin, TX 78754",4,Public district,8-Jun,30.3979841,-97.6435785
167,Akins High School,"10701 South 1st Street, Austin, TX 78748",4,Public district,12-Sep,30.1489844,-97.8018547
168,Austin Discovery School,"8509 Farm to Market 969, Austin, TX 78724",4,Public charter,K-7,30.2723506,-97.6384032
169,Harmony School of Excellence - Austin,"2100 E St Elmo Rd Austin, Texas 78744, Austin, TX 78744",4,Public charter,K-12,30.210432,-97.746731
170,Vista Academy Of Austin-Mueller,"1504 East 51st Street, Austin, TX 78723",4,Public charter,K-7,30.3061411,-97.7015716
171,The East Austin College Prep At Ml,"5800 East Martin Luther King Junior Boulevard, Austin, TX 78721",4,Public charter,12-Jul,30.2877846,-97.6667609
172,KIPP Austin Leadership Elementary School,"5107 South Interstate 35 Frontage Road, Austin, TX 78744",4,Public charter,K-4,30.2044092,-97.7584703
173,Barrington Elementary School,"400 Cooper Drive, Austin, TX 78753",3,Public district,PK-6,30.3605079,-97.6966524
174,Oak Springs Elementary School,"3601 Webberville Road, Austin, TX 78702",3,Public district,PK-5,30.271786,-97.7048413
175,Pecan Springs Elementary School,"3100 Rogge Lane, Austin, TX 78723",3,Public district,PK-6,30.3031376,-97.6763182
176,Pleasant Hill Elementary School,"6405 Cir S Rd, Austin, TX 78745",3,Public district,PK-5,30.1962134,-97.7764906
177,Reagan High School,"7104 Berkman Drive, Austin, TX 78752",3,Public district,12-Sep,30.3241886,-97.6913511
178,Reilly Elementary School,"405 Denson Drive, Austin, TX 78752",3,Public district,PK-5,30.3279913,-97.7200233
179,Travis High School,"1211 Oltorf Street, Austin, TX 78704",3,Public district,12-Sep,30.233839,-97.743258
180,Travis Heights Elementary School,"2010 Alameda Drive, Austin, TX 78704",3,Public district,PK-5,30.2415692,-97.7459465
181,Walnut Creek Elementary School,"401 West Braker Lane, Austin, TX 78753",3,Public district,PK-6,30.379195,-97.684126
182,Webb Middle School,"601 East Saint Johns Avenue, Austin, TX 78752",3,Public district,8-Jun,30.332413,-97.707407
183,Galindo Elementary School,"3800 South 2nd Street, Austin, TX 78704",3,Public district,PK-5,30.2295854,-97.771885
184,Hornsby-Dunlap Elementary School,"13901 F M Rd 969, Austin, TX 78724",3,Public district,PK-5,30.4750921,-97.7674021
185,Northwest Elementary School,"14014 Thermal Drive, Austin, TX 78728",3,Public district,PK-5,30.4319095,-97.6755595
186,Rodriguez Elementary School,"4400 Franklin Park Drive, Austin, TX 78744",3,Public district,PK-5,30.2006584,-97.7472497
187,John P Ojeda J High School,"4900 McKinney Falls Parkway, Austin, TX 78744",3,Public district,8-Jun,30.1905707,-97.7125406
188,Paredes Middle School,"10100 S Mary Moore Searight Dr, Austin, TX 78748",3,Public district,8-Jun,30.1671271,-97.8112954
189,Magnolia Montessori For All,"5100 Pecan Brook Drive, Austin, TX 78724",3,Public charter,PK-8,30.3178958,-97.6593009
190,Eastside Memorial High School,"1012 Arthur Stiles Road, Austin, TX 78721",3,Public district,12-Sep,30.2568301,-97.6820523
191,Dailey Middle School,"14000 Westall Street, Austin, TX 78725",3,Public district,8-Jun,30.2431591,-97.5899873
192,The East Austin College Prep Acade,"6002 Jain Lane, Austin, TX 78721",3,Public charter,6-Feb,30.2605741,-97.6826079
193,The Real Learning Academy,"6405 Interstate 35 Frontage Road, Austin, TX 78744",3,Public charter,PK-5,30.1914238,-97.7671351
194,Dobie Middle School,"1200 East Rundberg Lane, Austin, TX 78753",2,Public district,8-Jun,30.354549,-97.679377
195,Govalle Elementary School,"3601 Valley Hill Circle, Austin, TX 78741",2,Public district,PK-5,30.2345238,-97.730671
196,Martin Middle School,"1601 Haskell Street, Austin, TX 78702",2,Public district,8-Jun,30.2529898,-97.7300503
197,Norman Elementary School,"4001 Tannehill Lane, Austin, TX 78721",2,Public district,PK-6,30.2781905,-97.6739286
198,Mendez Middle School,"5106 Village Square Drive, Austin, TX 78744",2,Public district,8-Jun,30.1886755,-97.7430555
199,Widen Elementary School,"5605 Nuckols Crossing Road, Austin, TX 78744",2,Public district,PK-5,30.1887131,-97.7400827
200,Lbj High School,"7309 Lazy Creek Drive, Austin, TX 78724",2,Public district,12-Sep,30.313495,-97.6566673
201,Garcia Ymla,"7414 Johnny Morris Road, Austin, TX 78724",2,Public district,8-Jun,30.3112256,-97.6431011
202,Sci-Tech Preparatory,"6405 Interstate 35 Frontage Road, Austin, TX 78744",2,Public charter,12-Jun,30.1914238,-97.7671351
203,Kipp Austin Connections Elementary School,"8509 Farm to Market 969, Austin, TX 78724",2,Public charter,PK-4,30.2723506,-97.6384032
204,Sadler Means Ywla,"6401 North Hampton Drive, Austin, TX 78723",2,Public district,8-Jun,30.3135772,-97.6807321
205,Burnet Middle School,"8401 Hathaway Drive, Austin, TX 78757",1,Public district,8-Jun,30.3650748,-97.7256054
